Loading.py[LINE:46]# INFO     [2022-05-08 15:00:15,691] Init functions...
MainWindow.py[LINE:117]# INFO     [2022-05-08 15:00:15,691] Init functions
MainWindow.py[LINE:149]# INFO     [2022-05-08 15:00:15,715] Trying to load all data from file
MainWindow.py[LINE:154]# INFO     [2022-05-08 15:00:15,716] {'login': '+77716333246', 'password': 'MF6V2iXfKdPrq2vzJom4', 'token': '', 'user_id': 428794235}
VkHelper.py[LINE:97]# INFO     [2022-05-08 15:00:15,716] User login
VkHelper.py[LINE:98]# INFO     [2022-05-08 15:00:15,716] Set cookies
VkHelper.py[LINE:103]# INFO     [2022-05-08 15:00:15,720] Check is user login
connectionpool.py[LINE:937]# DEBUG    [2022-05-08 15:00:15,723] Starting new HTTPS connection (1): m.vk.com:443
connectionpool.py[LINE:433]# DEBUG    [2022-05-08 15:00:15,860] https://m.vk.com:443 "GET /feed HTTP/1.1" 302 20
connectionpool.py[LINE:937]# DEBUG    [2022-05-08 15:00:15,863] Starting new HTTPS connection (1): login.vk.com:443
connectionpool.py[LINE:433]# DEBUG    [2022-05-08 15:00:15,997] https://login.vk.com:443 "GET /?role=pda&_origin=https%3A%2F%2Fm.vk.com&ip_h=5d1a6db232c51d7543&to=ZmVlZA-- HTTP/1.1" 302 20
connectionpool.py[LINE:433]# DEBUG    [2022-05-08 15:00:16,081] https://m.vk.com:443 "GET /login?slogin_h=29b5daf4c7b67cb405.46dab377ba0412341d&role=fast&to=ZmVlZA--&s=1&__q_hash=7ae687a2f33e7895e80c18c7ce08ff9f HTTP/1.1" 302 20
connectionpool.py[LINE:433]# DEBUG    [2022-05-08 15:00:17,839] https://m.vk.com:443 "GET /feed HTTP/1.1" 200 66404
VkHelper.py[LINE:119]# INFO     [2022-05-08 15:00:17,914] Logged in by cookies!
VkHelper.py[LINE:120]# INFO     [2022-05-08 15:00:17,914] Successfully login as: Harry Osb
LikestHelper.py[LINE:25]# INFO     [2022-05-08 15:00:17,916] Trying to login to likest
connectionpool.py[LINE:937]# DEBUG    [2022-05-08 15:00:17,918] Starting new HTTPS connection (1): ulogin.ru:443
connectionpool.py[LINE:433]# DEBUG    [2022-05-08 15:00:18,046] https://ulogin.ru:443 "HEAD /auth.php?name=vkontakte HTTP/1.1" 302 0
LikestHelper.py[LINE:28]# INFO     [2022-05-08 15:00:18,049] 302
connectionpool.py[LINE:937]# DEBUG    [2022-05-08 15:00:18,050] Starting new HTTPS connection (1): ulogin.ru:443
connectionpool.py[LINE:433]# DEBUG    [2022-05-08 15:00:18,145] https://ulogin.ru:443 "GET /auth.php?name=vkontakte HTTP/1.1" 302 None
connectionpool.py[LINE:937]# DEBUG    [2022-05-08 15:00:18,147] Starting new HTTPS connection (1): oauth.vk.com:443
connectionpool.py[LINE:433]# DEBUG    [2022-05-08 15:00:18,263] https://oauth.vk.com:443 "GET /authorize?v=5.131&client_id=3280318&scope=friends,schools,email&display=page&response_type=code&redirect_uri=https%3A%2F%2Fulogin.ru%2Fauth.php%3Fname%3Dvkontakte HTTP/1.1" 302 20
connectionpool.py[LINE:433]# DEBUG    [2022-05-08 15:00:18,322] https://login.vk.com:443 "GET /?act=grant_access&client_id=3280318&settings=4194306&response_type=code&group_ids=&token_type=0&v=5.131&display=page&ip_h=5d1a6db232c51d7543&hash=1652011267_af0f318d397f4d2a9d&https=1&state=&redirect_uri=https%3A%2F%2Fulogin.ru%2Fauth.php%3Fname%3Dvkontakte HTTP/1.1" 302 20
connectionpool.py[LINE:433]# DEBUG    [2022-05-08 15:00:18,708] https://ulogin.ru:443 "GET /auth.php?name=vkontakte&code=0c7077ce050551a1d6 HTTP/1.1" 200 None
LikestHelper.py[LINE:39]# INFO     [2022-05-08 15:00:18,711] Likest token: 94c11857281d91fa9d0096c31f6089c6
connectionpool.py[LINE:937]# DEBUG    [2022-05-08 15:00:18,714] Starting new HTTPS connection (1): likest.ru:443
connectionpool.py[LINE:433]# DEBUG    [2022-05-08 15:00:18,981] https://likest.ru:443 "POST /user/login-ulogin/token HTTP/1.1" 302 None
connectionpool.py[LINE:433]# DEBUG    [2022-05-08 15:00:19,084] https://likest.ru:443 "GET /earn HTTP/1.1" 200 None
LikestHelper.py[LINE:53]# INFO     [2022-05-08 15:00:19,085] Successfully logged in Likest
connectionpool.py[LINE:937]# DEBUG    [2022-05-08 15:00:19,389] Starting new HTTPS connection (1): api.vk.com:443
connectionpool.py[LINE:433]# DEBUG    [2022-05-08 15:00:19,480] https://api.vk.com:443 "POST /method/users.get HTTP/1.1" 200 172
connectionpool.py[LINE:226]# DEBUG    [2022-05-08 15:02:00,300] Starting new HTTP connection (1): likest.ru:80
connectionpool.py[LINE:433]# DEBUG    [2022-05-08 15:02:00,352] http://likest.ru:80 "GET /api/balance.get HTTP/1.1" 301 178
connectionpool.py[LINE:271]# DEBUG    [2022-05-08 15:02:00,355] Resetting dropped connection: likest.ru
connectionpool.py[LINE:433]# DEBUG    [2022-05-08 15:02:00,449] https://likest.ru:443 "GET /api/balance.get HTTP/1.1" 200 None
LikestHelper.py[LINE:70]# INFO     [2022-05-08 15:02:00,450] Likest balance {'status': 'SUCCESS', 'balance': 0}
